Country,Year,Emiss_pc,Emiss_pue,Emiss_pugdp,Population,Total_Emissions
Canada,1965,12.8,0.2,0.8,19685519,251916984
Canada,1966,12.9,0.2,0.7,20053665,259074361
Canada,1967,13.8,0.2,0.8,20408776,281637027
Canada,1968,14.6,0.2,0.8,20734171,303261344
Canada,1969,14.6,0.2,0.8,21037620,307119210
Canada,1970,15.9,0.2,0.8,21440020,341177204
Canada,1971,16.1,0.2,0.8,21895693,352287424
Canada,1972,17.1,0.2,0.8,22230876,380791697
Canada,1973,16.9,0.2,0.8,22512230,381273206
Canada,1974,17.1,0.2,0.8,22824083,389616911
Canada,1975,17.1,0.2,0.7,23148980,396786805
Canada,1976,17,0.2,0.7,23455783,398962228
Canada,1977,17.2,0.2,0.7,23730341,407790414
Canada,1978,17.3,0.2,0.7,23978742,415528675
Canada,1979,18.2,0.2,0.7,24237173,441676767
Canada,1980,18.1,0.2,0.7,24533779,442846855
Canada,1981,17.3,0.2,0.7,24844977,429629727
Canada,1982,16.5,0.2,0.7,25140164,414454886
Canada,1983,16.1,0.2,0.6,25412604,408338514
Canada,1984,16.6,0.2,0.6,25670376,425233372
Canada,1985,16.3,0.1,0.6,25927463,421718664
Canada,1986,15.4,0.1,0.5,26211035,404707947
Canada,1987,16.2,0.1,0.6,26540914,430982058
Canada,1988,16.9,0.1,0.6,26927938,455669100
Canada,1989,16.9,0.1,0.6,27366047,462885191
Canada,1990,16.5,0.2,0.5,27789436,458014896
Canada,1991,16,0.1,0.5,28157153,449756120
Canada,1992,16.3,0.1,0.6,28500065,463496728
Canada,1993,16.1,0.1,0.5,28830635,464159961
Canada,1994,16.4,0.1,0.5,29147382,478630530
Canada,1995,16.7,0.1,0.5,29459136,491413681
Canada,1996,17.1,0.1,0.5,29767210,507728674
Canada,1997,17.4,0.1,0.5,30059087,522021916
Canada,1998,17.5,0.2,0.5,30329968,529635732
Canada,1999,17.8,0.2,0.5,30599458,543865587
Canada,2000,18.3,0.2,0.5,30891800,566261368
Canada,2001,17.9,0.2,0.5,31213577,558360451
Canada,2002,17.9,0.2,0.5,31535580,563728514
Canada,2003,18.2,0.2,0.5,31836484,580792436
Canada,2004,18,0.2,0.5,32132680,579162734
Canada,2005,17.7,0.2,0.4,32440173,572854786
Canada,2006,17.3,0.2,0.4,32759174,568173247
Canada,2007,17.9,0.2,0.4,33092172,591888673
Canada,2008,17.2,0.1,0.4,33449089,575769940
Canada,2009,16,0.1,0.4,33826369,542810729
